id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW230823_142524-v1,GW230823_142524,1,GWTC-4.0,1376835942.6,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230823_142524/v1,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,1.6,,,0.86,,,,,
GW230824_033047-v1,GW230824_033047,1,GWTC-4.0,1376883065.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230824_033047/v1,53.0,-11.0,16.0,36.0,-13.0,12.0,11.1,,,4700.0,-2300.0,2900.0,,,,88.0,-14.0,19.0,37.0,-6.3,9.1,,,,0.74,-0.32,0.36,1e-05,,,0.99,,,84.0,-13.0,19.0
GW230824_135331-v1,GW230824_135331,1,GWTC-4.0,1376920429.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230824_135331/v1,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,6.2,,,0.58,,,,,
GW230825_041334-v1,GW230825_041334,1,GWTC-4.0,1376972032.5,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230825_041334/v1,43.0,-12.0,17.0,27.3,-8.9,11.9,8.8,,,4900.0,-2900.0,4200.0,0.28,-0.29,0.25,71.0,-15.0,22.0,29.4,-6.3,9.4,,,,0.77,-0.4,0.5,0.1,,,0.98,,,67.0,-15.0,20.0
GW230830_064744-v1,GW230830_064744,1,GWTC-4.0,1377413282.2,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230830_064744/v1,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,3.5,,,0.55,,,,,
GW230831_015414-v1,GW230831_015414,1,GWTC-4.0,1377482072.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230831_015414/v1,42.0,-10.0,18.0,30.0,-10.0,12.0,8.6,,,4900.0,-2900.0,4200.0,0.03,-0.3,0.3,73.0,-15.0,26.0,30.7,-6.5,10.6,,,,0.77,-0.4,0.5,0.29,,,0.99,,,69.0,-14.0,24.0
GW230831_134621-v1,GW230831_134621,1,GWTC-4.0,1377524799.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230831_134621/v1,,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,12.0,,,0.8,,,,,
GW230902_122814-v1,GW230902_122814,1,GWTC-4.0,1377692912.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230902_122814/v1,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,2.0,,,0.84,,,,,
GW230902_172430-v1,GW230902_172430,1,GWTC-4.0,1377710688.8,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230902_172430/v1,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,39.0,,,0.59,,,,,
GW230902_224555-v1,GW230902_224555,1,GWTC-4.0,1377729973.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230902_224555/v1,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,51.0,,,0.52,,,,,
